cik,ticker,label,subset,Fiscal Period,Cost of Goods Sold,Depreciation Depletion Amortization,EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
1012620,GWR,False,train,Dec 2015,1459.0,189.0,368.0,557.0,541.0,2206.0,3100.0,225.0,1545.0,2000.0,6703.0,507.0,528.0,46.0,4184.0,159.0,382.0
1012620,GWR,False,train,Dec 2016,1500.0,205.0,291.0,496.0,501.0,2307.0,4312.0,141.0,1686.0,2002.0,7635.0,485.0,479.0,44.0,4448.0,174.0,364.0
1012620,GWR,False,train,Dec 2017,1644.0,250.0,403.0,653.0,564.0,2303.0,4932.0,549.0,2235.0,2208.0,8035.0,590.0,468.0,58.0,4139.0,157.0,417.0
1012620,GWR,False,train,Dec 2018,1757.0,263.0,427.0,690.0,592.0,2425.0,4209.0,244.0,2482.0,2349.0,7868.0,628.0,482.0,57.0,4238.0,156.0,426.0
1338613,RGP,False,train,Dec 2010,1013.0,175.0,177.0,352.0,421.0,1687.0,3914.0,64.0,-129.0,1434.0,5568.0,187.0,234.0,27.0,2004.0,381.0,89.0
1338613,RGP,False,train,Dec 2011,1013.0,175.0,177.0,352.0,421.0,1687.0,3914.0,64.0,-129.0,1434.0,5568.0,187.0,234.0,27.0,2004.0,381.0,89.0
1338613,RGP,False,train,Dec 2012,1387.0,259.0,156.0,415.0,613.0,2157.0,3706.0,22.0,-129.0,2000.0,8123.0,340.0,489.0,27.0,2706.0,583.0,230.0
1338613,RGP,False,train,Dec 2013,1793.0,293.0,55.0,348.0,728.0,3310.0,5702.0,25.0,-129.0,2521.0,8782.0,400.0,475.0,42.0,3764.0,673.0,320.0
1338613,RGP,False,train,Dec 2014,3452.0,525.0,-17.0,524.0,1499.0,6641.0,9976.0,-153.0,-129.0,4951.0,17103.0,703.0,756.0,67.0,7398.0,1516.0,528.0
19612,TCF,False,train,Dec 2016,857.0,182.0,46.0,107.0,175.0,365.0,3350.0,212.0,1383.0,1272.0,21441.0,337.0,317.0,114.0,18997.0,119.0,52330.0
19612,TCF,False,train,Dec 2017,857.0,192.0,46.0,107.0,175.0,365.0,3520.0,269.0,1577.0,1333.0,23002.0,337.0,317.0,114.0,20322.0,119.0,52330.0
19612,TCF,False,train,Dec 2018,857.0,205.0,46.0,107.0,175.0,365.0,1623.0,304.0,1767.0,1432.0,23700.0,337.0,317.0,114.0,21143.0,119.0,52330.0
19612,TCF,False,train,Dec 2019,857.0,309.0,46.0,107.0,175.0,365.0,7159.0,295.0,1896.0,1715.0,46652.0,337.0,317.0,114.0,40924.0,119.0,52330.0
19612,TCF,False,train,Dec 2020,857.0,438.0,46.0,107.0,175.0,365.0,5648.0,223.0,1735.0,2004.0,47802.0,337.0,317.0,114.0,42113.0,119.0,52330.0
1538263,HTBI,False,train,Jun 2017,1714.0,0.0,33.0,87.0,156.0,465.0,462.8,11.8,191.7,106.6,3206.5,65.0,75.0,13.0,2808.9,140.0,109.9
1538263,HTBI,False,train,Jun 2018,1714.0,0.5,33.0,87.0,156.0,465.0,536.0,8.2,200.6,120.0,3304.2,65.0,75.0,13.0,2894.9,140.0,118.5
1538263,HTBI,False,train,Jun 2019,1714.0,-0.6,33.0,87.0,156.0,465.0,452.1,27.1,224.5,129.3,3476.2,65.0,75.0,13.0,3067.3,140.0,122.5
1538263,HTBI,False,train,Jun 2020,1714.0,4.8,33.0,87.0,156.0,465.0,272.3,22.8,242.8,134.4,3722.9,65.0,75.0,13.0,3314.6,140.0,140.3
1538263,HTBI,False,train,Jun 2021,1714.0,12.2,33.0,87.0,156.0,465.0,464.2,15.7,240.1,144.5,3524.7,65.0,75.0,13.0,3128.2,140.0,148.4
1061859,OVNT,False,train,Dec 2000,59.9,59.0,47.0,47.0,1162.0,116.0,493.86,42.0,-528.0,1162.0,969.0,408.0,176.0,11.0,327.0,1115.0,162.0
1061859,OVNT,False,train,Dec 2001,59.9,59.0,47.0,47.0,1162.0,116.0,493.86,42.0,-528.0,1162.0,969.0,408.0,176.0,11.0,327.0,1115.0,162.0
1061859,OVNT,False,train,Dec 2002,59.9,59.0,92.0,150.0,1352.0,116.0,493.86,89.0,-528.0,1352.0,1031.0,408.0,176.0,11.0,400.0,1281.0,162.0
1061859,OVNT,False,train,Dec 2003,59.9,57.0,80.0,137.0,1475.0,116.0,493.86,47.0,-844.0,1475.0,831.0,198.0,202.0,10.0,450.0,1408.0,152.0
1061859,OVNT,False,train,Dec 2004,59.9,59.0,109.0,168.0,1647.0,96.0,493.86,63.0,-785.0,1647.0,887.0,252.0,200.0,11.0,471.0,1539.0,193.0
108312,WWD,False,train,Sep 2017,1528.0,81.0,288.0,369.0,571.0,580.0,4769.0,201.0,1820.0,2099.0,2757.0,1021.0,427.0,474.0,1386.0,304.0,422.0
108312,WWD,False,train,Sep 2018,1723.0,116.0,260.0,376.0,603.0,1092.0,4977.0,180.0,1967.0,2326.0,3791.0,1115.0,591.0,550.0,2253.0,342.0,438.0
108312,WWD,False,train,Sep 2019,2193.0,142.0,365.0,507.0,708.0,865.0,6654.0,260.0,2225.0,2900.0,3957.0,1271.0,707.0,517.0,2230.0,370.0,600.0
108312,WWD,False,train,Sep 2020,1855.0,131.0,318.0,449.0,640.0,737.0,5009.0,240.0,2428.0,2496.0,3903.0,1211.0,392.0,438.0,1911.0,351.0,567.0
108312,WWD,False,train,Sep 2021,1695.0,130.0,280.0,410.0,551.0,734.0,7161.0,209.0,2601.0,2246.0,4091.0,1465.0,366.0,420.0,1876.0,290.0,535.0
946840,VPHM,False,train,Dec 2008,40.0,30.0,32.0,62.0,270.0,139.0,650.0,-11.0,48.0,310.0,1084.0,446.0,40.0,42.0,334.0,238.0,41.0
946840,VPHM,False,train,Dec 2009,40.0,30.0,32.0,62.0,270.0,139.0,650.0,-11.0,48.0,310.0,1084.0,446.0,40.0,42.0,334.0,238.0,41.0
946840,VPHM,False,train,Dec 2010,61.0,31.0,212.0,243.0,378.0,146.0,1353.0,126.0,174.0,439.0,1288.0,633.0,72.0,54.0,396.0,166.0,44.0
946840,VPHM,False,train,Dec 2011,80.0,33.0,222.0,256.0,464.0,153.0,1933.0,141.0,315.0,544.0,1337.0,636.0,99.0,60.0,446.0,242.0,79.0
946840,VPHM,False,train,Dec 2012,109.0,38.0,33.0,71.0,319.0,162.0,1482.0,6.0,320.0,428.0,1220.0,453.0,114.0,64.0,463.0,286.0,74.0
1056903,AWR,False,test,Dec 2016,102.7,39.1,116.5,155.6,333.3,321.0,1666.2,59.7,247.1,436.1,1470.5,166.9,177.9,4.3,976.2,219.1,115.1
1056903,AWR,False,test,Dec 2017,103.4,39.3,130.9,170.2,337.2,321.0,2124.2,69.4,279.8,440.6,1416.7,155.5,156.7,4.8,886.8,218.4,110.6
1056903,AWR,False,test,Dec 2018,108.9,40.7,105.3,146.0,327.9,376.6,2464.2,63.9,304.5,436.8,1501.4,131.5,146.6,5.8,943.2,227.0,96.0
1056903,AWR,False,test,Dec 2019,120.1,35.7,133.6,169.3,353.7,481.0,3192.4,84.3,346.0,473.9,1641.3,122.5,116.0,6.4,1039.8,226.9,88.3
1056903,AWR,False,test,Dec 2020,119.4,37.2,137.2,174.4,368.8,574.5,2933.1,86.4,385.0,488.2,1791.6,157.1,118.6,8.6,1149.9,238.3,93.1
1014473,VRSN,False,train,Dec 2016,198.0,58.0,694.0,752.0,944.0,1237.0,7842.0,441.0,-18185.0,1142.0,2335.0,1842.0,1522.0,93.0,3535.0,257.0,28.0
1014473,VRSN,False,train,Dec 2017,193.0,50.0,732.0,782.0,972.0,1783.0,11168.0,457.0,-17695.0,1165.0,2941.0,2446.0,1561.0,93.0,4201.0,264.0,11.0
1014473,VRSN,False,train,Dec 2018,192.0,48.0,841.0,889.0,1023.0,1785.0,17800.0,582.0,-17090.0,1215.0,1915.0,1317.0,948.0,93.0,3300.0,255.0,10.0
1014473,VRSN,False,train,Dec 2019,180.0,46.0,849.0,896.0,1051.0,1788.0,22489.0,612.0,-16477.0,1232.0,1854.0,1279.0,965.0,93.0,3344.0,245.0,17.0
1014473,VRSN,False,train,Dec 2020,180.0,46.0,840.0,887.0,1085.0,1790.0,24555.0,815.0,-15663.0,1265.0,1767.0,1218.0,989.0,93.0,3157.0,261.0,8.0
1733998,NWN,False,train,Dec 2016,397.0,78.0,144.0,221.0,271.0,679.0,1712.0,59.0,412.0,668.0,3080.0,288.0,275.0,54.0,2229.0,120.0,130.0
1733998,NWN,False,train,Dec 2017,477.0,81.0,151.0,232.0,278.0,683.0,1714.0,-56.0,302.0,755.0,3040.0,270.0,382.0,48.0,2297.0,127.0,128.0
1733998,NWN,False,train,Dec 2018,442.0,85.0,129.0,214.0,264.0,706.0,1746.0,65.0,312.0,706.0,3243.0,296.0,509.0,44.0,2480.0,132.0,130.0
1733998,NWN,False,train,Dec 2019,463.0,91.0,121.0,212.0,283.0,806.0,2247.0,62.0,318.0,746.0,3428.0,294.0,482.0,44.0,2562.0,139.0,123.0
1733998,NWN,False,train,Dec 2020,473.0,104.0,134.0,238.0,301.0,860.0,1407.0,77.0,337.0,774.0,3756.0,323.0,627.0,43.0,2868.0,152.0,149.0
917331,PNTE,False,train,Dec 2000,820.0,1.0,6.0,25.0,235.0,165.0,266.0,2.0,8.0,14.0,333.0,365.0,105.0,255.0,305.0,229.0,2.0
917331,PNTE,False,train,Dec 2001,820.0,1.0,6.0,25.0,235.0,165.0,266.0,2.0,8.0,14.0,333.0,365.0,105.0,255.0,305.0,229.0,2.0
917331,PNTE,False,train,Dec 2002,820.0,1.0,6.0,25.0,235.0,165.0,266.0,2.0,9.0,16.0,327.0,365.0,105.0,255.0,295.0,229.0,2.0
917331,PNTE,False,train,Dec 2003,820.0,1.0,6.0,25.0,235.0,165.0,266.0,2.0,11.0,17.0,349.0,365.0,105.0,255.0,314.0,229.0,2.0
917331,PNTE,False,train,Dec 2004,820.0,1.0,6.0,25.0,235.0,165.0,266.0,3.0,13.0,19.0,413.0,365.0,105.0,255.0,376.0,229.0,2.0
1109242,HAFC,False,test,Dec 2016,866.0,14.6,191.0,245.0,745.0,392.0,1128.3,56.5,41.7,193.3,4701.3,1276.0,525.0,440.0,4170.3,549.0,12.7
1109242,HAFC,False,test,Dec 2017,866.0,12.9,191.0,245.0,745.0,392.0,984.3,54.7,70.6,210.2,5210.5,1276.0,525.0,440.0,4648.0,549.0,18.6
1109242,HAFC,False,test,Dec 2018,866.0,11.1,191.0,245.0,745.0,392.0,609.3,57.9,97.5,205.5,5502.2,1276.0,525.0,440.0,4949.7,549.0,21.6
1109242,HAFC,False,test,Dec 2019,866.0,9.5,191.0,245.0,745.0,392.0,616.0,32.8,100.6,202.2,5538.2,1276.0,525.0,440.0,4974.9,549.0,523.6
1109242,HAFC,False,test,Dec 2020,866.0,11.0,191.0,245.0,745.0,392.0,348.3,42.2,114.6,222.6,6201.9,1276.0,525.0,440.0,5624.8,549.0,465.2
833081,PDE,False,train,Dec 2006,1033.0,217.0,688.0,913.0,1011.0,1116.0,37175.0,784.0,1585.0,2044.0,5614.0,1533.0,645.0,7.0,2143.0,363.0,404.0
833081,PDE,False,train,Dec 2007,1033.0,217.0,688.0,913.0,1011.0,1116.0,37175.0,784.0,1585.0,2044.0,5614.0,1533.0,645.0,7.0,2143.0,363.0,404.0
833081,PDE,False,train,Dec 2008,1128.0,211.0,902.0,1113.0,1183.0,693.0,37175.0,852.0,2437.0,2310.0,6065.0,1421.0,571.0,1.0,1668.0,313.0,439.0
833081,PDE,False,train,Dec 2009,856.0,197.0,412.0,609.0,739.0,1162.0,37175.0,286.0,2211.0,1594.0,6143.0,1164.0,502.0,1.0,1885.0,325.0,256.0
833081,PDE,False,train,Dec 2010,897.0,184.0,265.0,449.0,563.0,1833.0,37175.0,219.0,2430.0,1460.0,6872.0,823.0,360.0,1.0,2355.0,288.0,200.0
1339947,VIAB,False,train,Sep 2015,980.0,4789.0,2732.0,7521.0,12488.0,11896.0,15126.0,1438.0,15628.0,12488.0,22508.0,4522.0,3672.0,844.0,18178.0,9756.0,2712.0
